county,precinct,absenteePrecinct,score
FAYETTE,07,"07",100.00
FAYETTE,13,"13",100.00
FAYETTE,23,"23",100.00
FAYETTE,03,"03",100.00
FAYETTE,20,"20",100.00
FAYETTE,36,"36",100.00
FAYETTE,33,"33",100.00
FAYETTE,16,"16",100.00
FAYETTE,32,"32",100.00
FAYETTE,17,"17",100.00
FAYETTE,10,"10",100.00
FAYETTE,11,"11",100.00
FULTON,SS29A,"SS29A",100.00
FULTON,08D,"08D",100.00
FULTON,AP12B,"AP12B",100.00
FULTON,06B,"CP06B",90.00
FULTON,EP02D,"EP02D",100.00
FULTON,SS19B,"SS19B",100.00
FULTON,JC03B,"JC03B",100.00
FULTON,06D1,"06D1",100.00
FULTON,AP07A,"AP07A",100.00
FULTON,HP01,"HP01",100.00
FULTON,ML02A,"ML02A",100.00
FULTON,SS15B,"SS15B",100.00
FULTON,SC20,"SC20",100.00
FULTON,11E2,"11E2",100.00
FULTON,CP081,"CP081",100.00
FULTON,EP02B,"EP02B",100.00
FULTON,JC01,"JC01",100.00
FULTON,ML04,"ML04",100.00
FULTON,CP06A,"CP06A",100.00
FULTON,AP01C,"AP01C",100.00
FULTON,02E,"UC02E",90.00
FULTON,01B,"01B",100.00
FULTON,12A1,"12A1",100.00
FULTON,AP14,"AP14",100.00
FULTON,04D,"04D",100.00
FULTON,08F1,"08F1",100.00
FULTON,04I,"04I",100.00
FULTON,01G,"01G",100.00
FULTON,07D,"07D",100.00
FULTON,09E,"09E",100.00
FULTON,10K,"10K",100.00
FULTON,11M,"11M",100.00
FULTON,JC12,"JC12",100.00
FULTON,09F,"09F",100.00
FULTON,08N2,"08N2",100.00
FULTON,AP02B,"AP02B",100.00
FULTON,AP14,"AP14A",89.00
FULTON,JC16,"JC16",100.00
FULTON,PA01,"PA01",100.00
FULTON,SS04,"SS04",100.00
FULTON,10D,"10D",100.00
FULTON,JC10,"JC10",100.00
FULTON,01T,"01T",100.00
FULTON,12F,"12F",100.00
FULTON,AP01B,"AP01B",100.00
FULTON,09K,"09K",100.00
FULTON,SC05D,"SC05D",100.00
FULTON,02D,"02D",100.00
FULTON,AP01D,"AP01D",100.00
FULTON,JC09,"JC09",100.00
FULTON,SC05E,"SC05E",100.00
FULTON,10D,"10D2",86.00
FULTON,11C,"11C2",86.00
FULTON,RW11A,"RW11A",100.00
FULTON,SC14A,"SC14A",100.00
FULTON,UC02B,"UC02B",100.00
FULTON,SC11A,"SC11A",100.00
FULTON,SC29A,"SC29A",100.00
FULTON,JC04B,"JC04B",100.00
FULTON,09C,"09C",100.00
FULTON,RW02,"RW02",100.00
FULTON,SC30A,"SC30A",100.00
FULTON,04G,"04G",100.00
FULTON,06B,"06B",100.00
FULTON,AP01A,"AP01A",100.00
FULTON,CP07D,"CP07D",100.00
FULTON,SC08D,"SC08D",100.00
FULTON,SC08G,"SC08G",100.00
FULTON,10P,"10P",100.00
FULTON,03P2,"03P2",100.00
FULTON,11H,"11H",100.00
FULTON,EP03A,"EP03A",100.00
FULTON,SC212,"SC212",100.00
FULTON,JC08,"JC08",100.00
FULTON,SS18A,"SS18A",100.00
FULTON,05D,"05D",100.00
FULTON,03H,"03H",100.00
FULTON,SS08B,"SS08B",100.00
FULTON,08B,"08B",100.00
FULTON,02A,"SC02A",90.00
FULTON,SS19A,"SS19A",100.00
FULTON,02W,"02W",100.00
FULTON,SC18B,"SC18B",100.00
FULTON,01C,"01C",100.00
FULTON,09D,"09D",100.00
FULTON,JC07,"JC07",100.00
FULTON,ML06B,"ML06B",100.00
FULTON,RW09,"RW09",100.00
FULTON,SC13,"SC13",100.00
FULTON,CP07B,"CP07B",100.00
FULTON,02L2,"02L2",100.00
FULTON,05C,"05C",100.00
FULTON,UC01E,"UC01E",100.00
FULTON,03D,"03D",100.00
FULTON,11B,"11B",100.00
FULTON,06F,"06F",100.00
FULTON,11B,"11B2",86.00
FULTON,SC30B,"SC30B",100.00
FULTON,01A,"01A",100.00
